,school,school_norm,school_standard,specialization,specialization_norm,specialization_standard
0,DHBKHN,dai hoc bach khoa ha noi,dai hoc bach khoa ha noi,CNTT,cong nghe thong tin,cong nghe thong tin
1,vien dai hoc mo ha noi,vien dai hoc mo ha noi,vien dai hoc mo ha noi,khoa công nghệ thông tin,khoa cong nghe thong tin,cong nghe thong tin
2,Viện đại học Mở Hà Nội,vien dai hoc mo ha noi,vien dai hoc mo ha noi,Khoa công nghệ thông tin,khoa cong nghe thong tin,cong nghe thong tin
3,Fpt,fpt,fpt,Android,android,CannotFound
4,Dh công nghiệp hà nội,dai hoc cong nghiep ha noi,dai hoc cong nghiep ha noi,công nghệ thông tin,cong nghe thong tin,cong nghe thong tin
5,Dh công nghiệp hà nội,dai hoc cong nghiep ha noi,dai hoc cong nghiep ha noi,công nghệ thông tin,cong nghe thong tin,cong nghe thong tin
6,FPT university,fpt university,fpt university,marketing,marketing,marketing
7,back khoa aptech,back khoa aptech,back khoa aptech,cntt,cong nghe thong tin,cong nghe thong tin
8,quản trị doanh nghiệp,quan tri doanh nghiep,quan tri doanh nghiep,Đại học Kinh doanh và công nghệ Hà nội,dai hoc kinh doanh cong nghe ha noi,CannotFound
9,ĐH Công nghiệp Hà Nội,dai hoc cong nghiep ha noi,dai hoc cong nghiep ha noi,Kế toán kiểm toán,ke toan kiem toan,kiem toan
10,đại học y dược Cần Thơ,dai hoc y duoc can tho,dai hoc y duoc can tho,Y đa khoa,y da khoa,y khoa
11,khoa học quân sự,khoa hoc quan su,khoa hoc quan su,tiếng trung,tieng trung,su pham tieng trung quoc
12,Đại Học Thương Mại,dai hoc thuong mai,dai hoc thuong mai,Marketing,marketing,marketing
13,đại học văn lang,dai hoc van lang,dai hoc van lang,quan hệ công chúng và truyền thông,quan he cong chung truyen thong,CannotFound
14,Đại học Ngoại Ngữ ĐHQG HN,dai hoc ngoai ngu dai hoc quoc gia ha noi,dai hoc ngoai ngu dai hoc quoc gia ha noi,Tiếng Pháp,tieng phap,su pham tieng phap
15,Đại học Ngoại Ngữ ĐHQG HN,dai hoc ngoai ngu dai hoc quoc gia ha noi,dai hoc ngoai ngu dai hoc quoc gia ha noi,Tiếng Pháp,tieng phap,su pham tieng phap
16,Đại Học Kinh Tế Kỹ Thuật Công Nghiệp,dai hoc kinh te ky thuat cong nghiep,dai hoc kinh te ky thuat cong nghiep,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
17,Đại học Cửu Long,dai hoc cuu long,dai hoc cuu long,Chuyên ngành kế toán,chuyen nganh ke toan,chuyen nganh
18,Trung tâm giáo dục thường xuyên đình xuyên,trung tam giao duc thuong xuyen dinh xuyen,trung tam giao duc thuong xuyen dinh xuyen,văn hóa và Công nghệ thông tin,van hoa cong nghe thong tin,cong nghe thong tin
19,trung cấp y dược mêkong,trung cap y duoc mekong,trung cap y duoc mekong,y sĩ đa khoa,y si da khoa,y khoa
20,Cao Đẳng Kinh Tế-Công Nghệ TPHCM,cao dang kinh te cong nghe hcm,cao dang kinh te cong nghe hcm,Quản trị nhà hàng và dịch vụ ăn uống,quan tri nha hang dich vu an uong,quan tri nha hang dich vu an uong
21,Trường Cao Đẳng Kinh Tế TPHCM,cao dang kinh te hcm,cao dang kinh te hcm,Kế toán,ke toan,ke toan
22,cd kt-kt,cao dang kt kt,cao dang kt kt,kế toán,ke toan,ke toan
23,Đai học kinh tế kỹ thuật Bình Dương,dai hoc kinh te ky thuat binh duong,dai hoc kinh te ky thuat binh duong,Dược sĩ Trung học,duoc si trung hoc,duoc hoc
24,Đai học kinh tế kỹ thuật Bình Dương,dai hoc kinh te ky thuat binh duong,dai hoc kinh te ky thuat binh duong,Dược sĩ Trung học,duoc si trung hoc,duoc hoc
25,Đai học kinh tế kỹ thuật Bình Dương,dai hoc kinh te ky thuat binh duong,dai hoc kinh te ky thuat binh duong,Dược sĩ Trung học,duoc si trung hoc,duoc hoc
26,Đai học kinh tế kỹ thuật Bình Dương,dai hoc kinh te ky thuat binh duong,dai hoc kinh te ky thuat binh duong,Dược sĩ Trung học,duoc si trung hoc,duoc hoc
27,THPT Thanh Đa,trung hoc pho thong thanh da,trung hoc pho thong thanh da,Không,khong,CannotFound
28,Nguyễn Tất Thành,nguyen tat thanh,nguyen tat thanh,quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
29,Đại học Tài chính - Marketing,dai hoc tai chinh marketing,dai hoc tai chinh marketing,Tài chính Bảo hiểm và đầu tư,tai chinh bao hiem dau tu,CannotFound
30,cao dang tai chinh hai quan,cao dang tai chinh hai quan,cao dang tai chinh hai quan,kinh doanh quoc te,kinh doanh quoc te,kinh doanh quoc te
31,Đại học tài chính quản trị kinh doanh,dai hoc tai chinh quan tri kinh doanh,dai hoc tai chinh quan tri kinh doanh,kế toán,ke toan,ke toan
32,Đại học Tài chính Marketing,dai hoc tai chinh marketing,dai hoc tai chinh marketing,Quản trị du lịch,quan tri du lich,quan tri du lich khach san
33,tc sp mẫu giáo nhà trẻ hn,tc su pham mau giao nha tre ha noi,tc su pham mau giao nha tre ha noi,giáo viên mầm non,giao vien mam non,CannotFound
34,Đại học Thủ Đô,dai hoc thu do,dai hoc thu do,Tiếng Trung Quốc,tieng trung quoc,su pham tieng trung quoc
35,điện xi nghiệp,dien xi nghiep,dien xi nghiep,điện,dien,ky thuat dien
36,thpt Lê thị riêng,trung hoc pho thong le thi rieng,trung hoc pho thong le thi rieng,học sinh,hoc sinh,sinh hoc
37,Cao đẳng y tế Thanh Hóa,cao dang y te thanh hoa,cao dang y te thanh hoa,Dươc học,duoc hoc,duoc hoc
38,THPT Tây Sơn,trung hoc pho thong tay son,trung hoc pho thong tay son,THPT,trung hoc pho thong,CannotFound
39,THPT Tây Sơn,trung hoc pho thong tay son,trung hoc pho thong tay son,THPT,trung hoc pho thong,CannotFound
40,Đại Học Xây Dựng Miền Tây,dai hoc xay dung mien tay,dai hoc xay dung mien tay,Xây Dựng Dân Dụng,xay dung dan dung,CannotFound
41,Trường THPT PHAN CHU TRINH,trung hoc pho thong phan chu trinh,trung hoc pho thong phan chu trinh,Học sinh,hoc sinh,sinh hoc
42,cao đẳng kỹ thuật nghiệp vụ thủ đũc,cao dang ky thuat nghiep vu thu duc,cao dang ky thuat nghiep vu thu duc,CNTT,cong nghe thong tin,cong nghe thong tin
43,học viện nông nghiệp việt nam,hoc vien nong nghiep viet nam,hoc vien nong nghiep viet nam,nông học,nong hoc,nong hoc
44,học viện nông nghiệp Việt Nam,hoc vien nong nghiep viet nam,hoc vien nong nghiep viet nam,Sản xuất và quản lý sản xuất rau hoa quả trong nhà có mái cho,san xuat quan ly san xuat rau hoa qua trong nha co mai cho,CannotFound
45,dh nông lâm tp hồ chí minh,dai hoc nong lam hcm,dai hoc nong lam hcm,công nghệ hóa học,cong nghe hoa hoc,CannotFound
46,đại học sư phạm tphcm,dai hoc su pham hcm,dai hoc su pham hcm,Tiếng Anh,tieng anh,su pham tieng anh
47,Đại học công đoàn,dai hoc cong doan,dai hoc cong doan,xã hội học,xa hoi hoc,xa hoi hoc
48,Cao Đẳng VHNT & DL Nha trang,cao dang vhnt dl nha trang,cao dang vhnt dl nha trang,Thanh Nhạc,thanh nhac,thanh nhac
49,cao đẳng kỹ thuật cao thắng,cao dang ky thuat cao thang,cao dang ky thuat cao thang,kế toán,ke toan,ke toan
50,Đại học An Giang,dai hoc an giang,dai hoc an giang,Công nghệ - kỹ thuật - môi trường,cong nghe ky thuat moi truong,cong nghe ky thuat moi truong
51,cao đẳng cộng đồng,cao dang cong dong,cao dang cong dong,kế toán,ke toan,ke toan
52,cao đẳng cộng đồng,cao dang cong dong,cao dang cong dong,kế toán,ke toan,ke toan
53,cao đẳng cộng đồng,cao dang cong dong,cao dang cong dong,kế toán,ke toan,ke toan
54,cao đẳng cộng đồng,cao dang cong dong,cao dang cong dong,kế toán,ke toan,ke toan
55,cao đẳng cộng đồng,cao dang cong dong,cao dang cong dong,kế toán,ke toan,ke toan
56,cao đẳng sư phạm huế,cao dang su pham hue,cao dang su pham hue,tin học ngoại ngữ,tin hoc ngoai ngu,CannotFound
57,cao đẳng sư phạm huế,cao dang su pham hue,cao dang su pham hue,tin học ngoại ngữ,tin hoc ngoai ngu,CannotFound
58,cao đẳng sư phạm huế,cao dang su pham hue,cao dang su pham hue,tin học ngoại ngữ,tin hoc ngoai ngu,CannotFound
59,cao đẳng sư phạm huế,cao dang su pham hue,cao dang su pham hue,tin học ngoại ngữ,tin hoc ngoai ngu,CannotFound
60,cao đẳng sư phạm huế,cao dang su pham hue,cao dang su pham hue,tin học ngoại ngữ,tin hoc ngoai ngu,CannotFound
61,cao đẳng sư phạm huế,cao dang su pham hue,cao dang su pham hue,tin học ngoại ngữ,tin hoc ngoai ngu,CannotFound
62,cao đẳng sư phạm huế,cao dang su pham hue,cao dang su pham hue,tin học ngoại ngữ,tin hoc ngoai ngu,CannotFound
63,cao đẳng sư phạm huế,cao dang su pham hue,cao dang su pham hue,tin học ngoại ngữ,tin hoc ngoai ngu,CannotFound
64,cao đẳng sư phạm huế,cao dang su pham hue,cao dang su pham hue,tin học ngoại ngữ,tin hoc ngoai ngu,CannotFound
65,cao đẳng sư phạm huế,cao dang su pham hue,cao dang su pham hue,tin học ngoại ngữ,tin hoc ngoai ngu,CannotFound
66,cao đẳng sư phạm huế,cao dang su pham hue,cao dang su pham hue,tin học ngoại ngữ,tin hoc ngoai ngu,CannotFound
67,cao đẳng sư phạm huế,cao dang su pham hue,cao dang su pham hue,tin học ngoại ngữ,tin hoc ngoai ngu,CannotFound
68,Đại học Mở TP.HCM,dai hoc mo hcm,dai hoc mo hcm,Kế toán - Kiểm toán,ke toan kiem toan,kiem toan
69,Đại học Mở TP.HCM,dai hoc mo hcm,dai hoc mo hcm,Kế toán - Kiểm toán,ke toan kiem toan,kiem toan
70,Đại học Mở TP.HCM,dai hoc mo hcm,dai hoc mo hcm,Kế toán - Kiểm toán,ke toan kiem toan,kiem toan
71,Đại học Mở TP.HCM,dai hoc mo hcm,dai hoc mo hcm,Kế toán - Kiểm toán,ke toan kiem toan,kiem toan
72,Đại học Hà Nội,dai hoc ha noi,dai hoc ha noi,Tài chính Ngân hàng,tai chinh ngan hang,tai chinh ngan hang
73,đại học Kinh Tế Quốc Dân,dai hoc kinh te quoc dan,dai hoc kinh te quoc dan,tiếng anh thương mại,tieng anh thuong mai,CannotFound
74,Đại học Kinh Tế TP.HCM,dai hoc kinh te hcm,dai hoc kinh te hcm,Tài chính Ngân hàng,tai chinh ngan hang,tai chinh ngan hang
75,Trường Đại Học Cần Thơ,dai hoc can tho,dai hoc can tho,CNTT cơ bản,cong nghe thong tin co ban,cong nghe thong tin
76,Cao Đẳng Kinh Tế Đối Ngoại,cao dang kinh te doi ngoai,cao dang kinh te doi ngoai,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
77,Học viện nông nghiệp Việt Nam,hoc vien nong nghiep viet nam,hoc vien nong nghiep viet nam,Khoa học đất,khoa hoc dat,khoa hoc dat
78,Đại học CN thành phố HCM,dai hoc cong nghe hcm,dai hoc cong nghe hcm,Hóa phân tích,hoa phan tich,CannotFound
79,Đại học Bách khoa HN,dai hoc bach khoa ha noi,dai hoc bach khoa ha noi,Quản Trị Kinh Doanh,quan tri kinh doanh,quan tri kinh doanh
80,ĐẠI HỌC CÔNG NGHỆ SÀI GÒN STU,dai hoc cong nghe sai gon stu,dai hoc cong nghe sai gon stu,điện-điện tử,dien dien tu,CannotFound
81,Học viện Nông nghiệp Việt Nam,hoc vien nong nghiep viet nam,hoc vien nong nghiep viet nam,Thú y,thu y,thu y
82,trường đại học kinh tế tài chính,dai hoc kinh te tai chinh,dai hoc kinh te tai chinh,Quản trị nhân lực,quan tri nhan luc,quan tri nhan luc
83,Học viện Báo chí và Tuyên truyền,hoc vien bao chi tuyen truyen,hoc vien bao chi tuyen truyen,Công tác xã hội,cong tac xa hoi,cong tac xa hoi
84,đại học giao thông vận tải thành phố HCM,dai hoc giao thong van tai hcm,dai hoc giao thong van tai hcm,cơ khí ô tô,co khi o to,CannotFound
85,kinh tế quốc dân,kinh te quoc dan,kinh te quoc dan,kinh tế,kinh te,kinh te
86,trường đại học công nghệ sài gòn,dai hoc cong nghe sai gon,dai hoc cong nghe sai gon,quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
87,học viện nông nghiệp việt nam,hoc vien nong nghiep viet nam,hoc vien nong nghiep viet nam,thú y,thu y,thu y
88,ĐH Ngoại Thương,dai hoc ngoai thuong,dai hoc ngoai thuong,Kinh tế Đối ngoại,kinh te doi ngoai,kinh te
89,cao đẵng nông nghiệp Nam Bộ,cao dang nong nghiep nam bo,cao dang nong nghiep nam bo,kế toán doanh nghiệp,ke toan doanh nghiep,CannotFound
90,Trường THPT Nguyễn Huệ,trung hoc pho thong nguyen hue,trung hoc pho thong nguyen hue,Văn - Anh,van anh,CannotFound
91,Trường DH Nông nghiêp Hà Nội,dai hoc nong nghiep ha noi,dai hoc nong nghiep ha noi,kỹ thuật cơ khí,ky thuat co khi,ky thuat co khi
92,đại học thăng long,dai hoc thang long,dai hoc thang long,tài chính,tai chinh,cong nghe tai chinh
93,đại học Ngân Hàng TPHCM,dai hoc ngan hang hcm,dai hoc ngan hang hcm,Tài chính,tai chinh,cong nghe tai chinh
94,học viện tài chính,hoc vien tai chinh,hoc vien tai chinh,tài chính ngân hàng,tai chinh ngan hang,tai chinh ngan hang
95,Đại Học Duy Tân,dai hoc duy tan,dai hoc duy tan,Xây dựng cầu đường,xay dung cau duong,CannotFound
96,Đại học nông lâm thái nguyên,dai hoc nong lam thai nguyen,dai hoc nong lam thai nguyen,Khoa học môi trường,khoa hoc moi truong,khoa hoc moi truong
97,Viện Đại Học Mở Hà Nội,vien dai hoc mo ha noi,vien dai hoc mo ha noi,Ngôn ngữ Anh,ngon ngu anh,ngon ngu anh
98,Viện Đại Học Mở  Hà Nội,vien dai hoc mo ha noi,vien dai hoc mo ha noi,Kinh Tế (Kế Toán),kinh te,kinh te
99,Đại học Kinh doanh và công nghệ Hà Nội,dai hoc kinh doanh cong nghe ha noi,dai hoc kinh doanh cong nghe ha noi,Kế toán,ke toan,ke toan
100,DHBKHN,dai hoc bach khoa ha noi,dai hoc bach khoa ha noi,Cao học,cao hoc,co hoc
101,đại học Thương Mại,dai hoc thuong mai,dai hoc thuong mai,Marketing,marketing,marketing
102,The University of Greenwich,the university of greenwich,the university of greenwich,Computer Sceince,computer sceince,khoa hoc may tinh
103,Đại học Ngoại thương,dai hoc ngoai thuong,dai hoc ngoai thuong,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
104,Học viện Báo chí và Tuyên truyền,hoc vien bao chi tuyen truyen,hoc vien bao chi tuyen truyen,Quảng cáo,quang cao,quang cao
105,Vietnam National University,vietnam national university,vietnam national university,English Translation and Interpretation,english translation and interpretation,CannotFound
106,Đại học khoa học xã hội và nhân văn,dai hoc khoa hoc xa hoi nhan van,dai hoc khoa hoc xa hoi nhan van,công tác xã hội,cong tac xa hoi,cong tac xa hoi
107,Natinal Economics University,natinal economics university,natinal economics university,Bachelor of Business Administration,bachelor of business administration,quan tri kinh doanh
108,Đại học Hà Nội,dai hoc ha noi,dai hoc ha noi,Tài chính - Ngân hàng,tai chinh ngan hang,tai chinh ngan hang
109,đại học hải phòng,dai hoc hai phong,dai hoc hai phong,giáo dục tiểu học,giao duc tieu hoc,giao duc tieu hoc
110,National Economics University,national economics university,national economics university,Investment Economics,investment economics,kinh te dau tu
111,Học Viện Ngoại Giao,hoc vien ngoai giao,hoc vien ngoai giao,Truyền Thông Quốc Tế,truyen thong quoc te,truyen thong quoc te
112,đại học công nghệ thông tin - đại học quốc gia tphcm,dai hoc cong nghe thong tin dai hoc quoc gia hcm,dai hoc cong nghe thong tin dai hoc quoc gia hcm,cử nhân cntt,cu nhan cong nghe thong tin,cong nghe thong tin
113,trường Đại học Thương mại,dai hoc thuong mai,dai hoc thuong mai,quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
114,Trường Đại học Thương mại,dai hoc thuong mai,dai hoc thuong mai,Cao Học Thương Mại,cao hoc thuong mai,CannotFound
115,Đại học Ngoại thương,dai hoc ngoai thuong,dai hoc ngoai thuong,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
116,Cao Đẳng Nghề Công Nghiệp Hà Nội,cao dang nghe cong nghiep ha noi,cao dang nghe cong nghiep ha noi,Công Nghệ Thông Tin,cong nghe thong tin,cong nghe thong tin
117,Đại học kinh tế tp hcm,dai hoc kinh te hcm,dai hoc kinh te hcm,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
118,Trường Đại học Cần Thơ,dai hoc can tho,dai hoc can tho,Công nghệ thông tin,cong nghe thong tin,cong nghe thong tin
119,Đại học kinh tế tài chính,dai hoc kinh te tai chinh,dai hoc kinh te tai chinh,Quản trị nhân lực,quan tri nhan luc,quan tri nhan luc
120,Cao đẳng kinh tế đối ngoại,cao dang kinh te doi ngoai,cao dang kinh te doi ngoai,Kế toán thương mại,ke toan thuong mai,CannotFound
121,Học viện công nghệ bưu chính viễn thông,hoc vien cong nghe buu chinh vien thong,hoc vien cong nghe buu chinh vien thong,Công nghệ truyền thông,cong nghe truyen thong,cong nghe truyen thong
122,ĐH Ngoại Thương,dai hoc ngoai thuong,dai hoc ngoai thuong,Luật Thương mại quốc tế,luat thuong mai quoc te,luat quoc te
123,Học viện công nghệ bưu chính viễn thông,hoc vien cong nghe buu chinh vien thong,hoc vien cong nghe buu chinh vien thong,Marketing,marketing,marketing
124,Ten lơ Man,ten lo man,ten lo man,Học Sinh,hoc sinh,sinh hoc
125,Đại học Văn hoá Hà Nội,dai hoc van hoa ha noi,dai hoc van hoa ha noi,Kinh doanh Xuất bản phẩm,kinh doanh xuat ban pham,kinh doanh xuat ban pham
126,Đại học Văn hoá Hà Nội,dai hoc van hoa ha noi,dai hoc van hoa ha noi,Kinh doanh Xuất bản phẩm,kinh doanh xuat ban pham,kinh doanh xuat ban pham
127,Đại học Văn hoá Hà Nội,dai hoc van hoa ha noi,dai hoc van hoa ha noi,Kinh doanh Xuất bản phẩm,kinh doanh xuat ban pham,kinh doanh xuat ban pham
128,Đại học Văn hoá Hà Nội,dai hoc van hoa ha noi,dai hoc van hoa ha noi,Kinh doanh Xuất bản phẩm,kinh doanh xuat ban pham,kinh doanh xuat ban pham
129,Đại học Văn hoá Hà Nội,dai hoc van hoa ha noi,dai hoc van hoa ha noi,Kinh doanh Xuất bản phẩm,kinh doanh xuat ban pham,kinh doanh xuat ban pham
130,Đại học Văn hoá Hà Nội,dai hoc van hoa ha noi,dai hoc van hoa ha noi,Kinh doanh Xuất bản phẩm,kinh doanh xuat ban pham,kinh doanh xuat ban pham
131,Đại học Văn hoá Hà Nội,dai hoc van hoa ha noi,dai hoc van hoa ha noi,Kinh doanh Xuất bản phẩm,kinh doanh xuat ban pham,kinh doanh xuat ban pham
132,Cao Đẳng Kỹ Thuật Cao Thắng,cao dang ky thuat cao thang,cao dang ky thuat cao thang,Điện Tử Công Nghiệp Và Dân Dụng,dien tu cong nghiep dan dung,CannotFound
133,Trường đại học kinh tế quốc dân,dai hoc kinh te quoc dan,dai hoc kinh te quoc dan,Quản trị Marketing,quan tri marketing,marketing
134,huhhh,huhhh,huhhh,chhbh,chhbh,CannotFound
135,báhhsh,bahhsh,bahhsh,hsghshs,hsghshs,CannotFound
136,Đại học Nguyễn Tất Thành,dai hoc nguyen tat thanh,dai hoc nguyen tat thanh,chuyên ngành công nghệ may thời trang,chuyen nganh cong nghe may thoi trang,chuyen nganh
137,Học viện công nghệ bưu chính viễn thông,hoc vien cong nghe buu chinh vien thong,hoc vien cong nghe buu chinh vien thong,Truyền thông đa phương tiện,truyen thong da phuong tien,truyen thong da phuong tien
138,Sài Gòn University,sai gon university,sai gon university,Ngôn ngữ Anh,ngon ngu anh,ngon ngu anh
139,Công Nghiệp 4,cong nghiep 4,cong nghiep 4,Phục Vụ Nhà Hàng,phuc vu nha hang,CannotFound
140,Công Nghiệp 4,cong nghiep 4,cong nghiep 4,Phục Vụ Nhà Hàng,phuc vu nha hang,CannotFound
141,Trường Cao đẳng Kinh tế Đối Ngoại,cao dang kinh te doi ngoai,cao dang kinh te doi ngoai,Marketing Thương mại,marketing thuong mai,marketing
142,Đại học Hà Nội,dai hoc ha noi,dai hoc ha noi,Quốc tế học,quoc te hoc,quoc te hoc
143,xxs,xxs,xxs,sds,sds,CannotFound
144,hutech,hutech,hutech,quản trị kinh doanh tài chính ngân hàng,quan tri kinh doanh tai chinh ngan hang,tai chinh ngan hang
145,Đại học Xã hội và Nhân văn,dai hoc xa hoi nhan van,dai hoc xa hoi nhan van,Ngôn ngữ Anh,ngon ngu anh,ngon ngu anh
146,Đại học Ngoại Ngữ,dai hoc ngoai ngu,dai hoc ngoai ngu,Tiếng Anh Kinh tế Quốc tế,tieng anh kinh te quoc te,kinh te quoc te
147,Đại học Khoa học Xã hội và Nhân văn,dai hoc khoa hoc xa hoi nhan van,dai hoc khoa hoc xa hoi nhan van,Quản trị dịch vụ du lịch và lữ hành,quan tri dich vu du lich lu hanh,quan tri dich vu du lich lu hanh
148,Đại học Thương Mại,dai hoc thuong mai,dai hoc thuong mai,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
149,thang long,thang long,thang long,toán,toan,toan co
150,Trường Đại học Thủ Dầu Một,dai hoc thu dau mot,dai hoc thu dau mot,Khoa Ngôn Ngữ Anh,khoa ngon ngu anh,ngon ngu anh
151,DH Khoa học Tự nhiên,dai hoc khoa hoc tu nhien,dai hoc khoa hoc tu nhien,Công nghệ Thông tin,cong nghe thong tin,cong nghe thong tin
152,Đại học kinh doanh và công nghệ Hà Nội,dai hoc kinh doanh cong nghe ha noi,dai hoc kinh doanh cong nghe ha noi,Quản lý kinh doanh,quan ly kinh doanh,quan tri kinh doanh
153,đại học Tài Chính Marketing,dai hoc tai chinh marketing,dai hoc tai chinh marketing,chuyên ngành Quản Trị Kinh Doanh,chuyen nganh quan tri kinh doanh,quan tri kinh doanh
154,Đại học Kinh doanh và Công nghệ Hà Nội,dai hoc kinh doanh cong nghe ha noi,dai hoc kinh doanh cong nghe ha noi,Ngân hàng,ngan hang,tai chinh ngan hang
155,Cao Đẳng Du Lịch Hà Nội,cao dang du lich ha noi,cao dang du lich ha noi,"Quản trị kinh doanh khách sạn, nhà hàng",quan tri kinh doanh khach san nha hang,quan tri kinh doanh
156,THCS Trần Đăng NInh,trung hoc co so tran dang ninh,trung hoc co so tran dang ninh,Lịch Sử,lich su,lich su
157,fpt-arena,fpt arena,fpt arena,thiết kế đồ họa,thiet ke do hoa,thiet ke do hoa
158,fpt-arena,fpt arena,fpt arena,thiết kế đồ họa,thiet ke do hoa,thiet ke do hoa
159,Bach Khoa University,bach khoa university,bach khoa university,Công trình thủy,cong trinh thuy,CannotFound
160,Học viện tài chính,hoc vien tai chinh,hoc vien tai chinh,Kế toán trưởng,ke toan truong,ke toan
161,Học viện tài chính,hoc vien tai chinh,hoc vien tai chinh,Tài chính - ngân hàng,tai chinh ngan hang,tai chinh ngan hang
162,"Troy University (USA) - School of International Education, Hanoi University of Science and Technology, Hanoi (Vietnam) ",troy university school of international education hanoi university of science and technology hanoi,troy university school of international education hanoi university of science and technology hanoi,"Bachelor of Global Business Administration, Troy University (USA) ",bachelor of global business administration troy university,quan tri kinh doanh
163,đại học kiến trúc đà nẵng,dai hoc kien truc da nang,dai hoc kien truc da nang,kiến trúc công trình,kien truc cong trinh,CannotFound
164,Đại học Khoa học tự nhiên,dai hoc khoa hoc tu nhien,dai hoc khoa hoc tu nhien,Sinh học,sinh hoc,sinh hoc
165,Đại học Khoa học tự nhiên,dai hoc khoa hoc tu nhien,dai hoc khoa hoc tu nhien,Sinh học,sinh hoc,sinh hoc
166,Đại học Công Nghệ - ĐHQGHN,dai hoc cong nghe dai hoc quoc gia ha noi,dai hoc cong nghe dai hoc quoc gia ha noi,Công Nghệ Thông Tin,cong nghe thong tin,cong nghe thong tin
167,Đại học Công Nghệ - ĐHQGHN,dai hoc cong nghe dai hoc quoc gia ha noi,dai hoc cong nghe dai hoc quoc gia ha noi,Công Nghệ Thông Tin,cong nghe thong tin,cong nghe thong tin
168,Học viện Công nghệ Bưu chính Viễn thông,hoc vien cong nghe buu chinh vien thong,hoc vien cong nghe buu chinh vien thong,CNTT,cong nghe thong tin,cong nghe thong tin
169,Đại học Tài Chính - Marketing,dai hoc tai chinh marketing,dai hoc tai chinh marketing,Marketing,marketing,marketing
170,BMG International Education,bmg international education,bmg international education,Quản lý sự kiện,quan ly su kien,CannotFound
171,cao đẳng điện lực miền trung,cao dang dien luc mien trung,cao dang dien luc mien trung,điện tử viễn thông,dien tu vien thong,ky thuat dien tu vien thong
172,Trường đào tạo lái xe SAIGON,dao tao lai xe saigon,dao tao lai xe saigon,Khóa đào tạo lái xe chuyên nghiệp,khoa dao tao lai xe chuyen nghiep,CannotFound
173,Đại học Thương mại,dai hoc thuong mai,dai hoc thuong mai,Luật Kinh tế,luat kinh te,luat kinh te
174,đại học lâm nghiệp,dai hoc lam nghiep,dai hoc lam nghiep,lâm học,lam hoc,lam hoc
175,học viện nông nghiệp việt nam,hoc vien nong nghiep viet nam,hoc vien nong nghiep viet nam,công nghệ thực phẩm,cong nghe thuc pham,cong nghe thuc pham
176,Đại học Khoa học Xã hội và Nhân văn,dai hoc khoa hoc xa hoi nhan van,dai hoc khoa hoc xa hoi nhan van,Quản lý Nhân lực,quan ly nhan luc,CannotFound
177,Đại học Khoa học Xã hội và Nhân văn,dai hoc khoa hoc xa hoi nhan van,dai hoc khoa hoc xa hoi nhan van,khoa học quản lý (quản lý nguồn nhân lực),khoa hoc quan ly,khoa hoc quan ly
178,vượt qua sóng gió,vuot qua song gio,vuot qua song gio,đời là bể khổ,doi la be kho,CannotFound
179,ĐH Ngân hàng TP. HCM,dai hoc ngan hang hcm,dai hoc ngan hang hcm,Thương mại điện tử,thuong mai dien tu,thuong mai dien tu
180,Đại học Bình Dương,dai hoc binh duong,dai hoc binh duong,Cử nhân tiếng Anh,cu nhan tieng anh,CannotFound
181,đại học Tôn Đức Thắng,dai hoc ton duc thang,dai hoc ton duc thang,Quản lí thể thao,quan li the thao,CannotFound
182,kinh tế quốc dân,kinh te quoc dan,kinh te quoc dan,quản trị kinh doanh thương mại,quan tri kinh doanh thuong mai,kinh doanh thuong mai
183,Đại Học Ngoại Ngữ,dai hoc ngoai ngu,dai hoc ngoai ngu,Tiếng Anh Kinh Tế Quốc Tế,tieng anh kinh te quoc te,kinh te quoc te
184,Đại học Kinh Tế Quốc Dân,dai hoc kinh te quoc dan,dai hoc kinh te quoc dan,Marketing - Quản trị bán hàng,marketing quan tri ban hang,marketing
185,đại học điện lực,dai hoc dien luc,dai hoc dien luc,quản lý năng lượng,quan ly nang luong,quan ly nang luong
186,Học viện Ngoại giao Việt Nam (DAV),hoc vien ngoai giao viet nam,hoc vien ngoai giao viet nam,Truyền thông Quốc tế,truyen thong quoc te,truyen thong quoc te
187,"THPT Chuyên Lê Hồng Phong, Nam Định",trung hoc pho thong chuyen le hong phong nam dinh,trung hoc pho thong chuyen le hong phong nam dinh,chuyên Anh,chuyen anh,chuyen nganh
188,Thang Long University,thang long university,thang long university,Finance & Banking,finance banking,tai chinh ngan hang
189,Đại học sư phạm thành phố Hồ Chí Minh,dai hoc su pham hcm,dai hoc su pham hcm,Giáo Dục Đặc Biệt,giao duc dac biet,giao duc dac biet
