,school,school_norm,school_standard,specialization,specialization_norm,specialization_standard
9690,Đại học Kinh tế Tp Hồ Chí Minh,dai hoc kinh te hcm,dai hoc kinh te hcm,Chuyên ngành,chuyen nganh,chuyen nganh
9691,Mai Linh Professional College,mai linh professional college,mai linh professional college,Chuyên ngành,chuyen nganh,chuyen nganh
9692,Trường Cao Đẳng Kỹ Thuật Lý Tự Trọng Tphcm,cao dang ky thuat ly tu trong hcm,cao dang ky thuat ly tu trong hcm,Công nghệ và kỹ thuật Ôtô,cong nghe ky thuat oto,cong nghe ky thuat o to
9693,Cao đẳng nghề Đồng Nai,cao dang nghe dong nai,cao dang nghe dong nai,Industrial Power Engineering,industrial power engineering,ky thuat cong nghiep
9694,Cao Dang Kinh te Ky Thuat Can Tho,cao dang kinh te ky thuat can tho,cao dang kinh te ky thuat can tho,Chuyên ngành,chuyen nganh,chuyen nganh
9695,Đại học Thái Nguyên,dai hoc thai nguyen,dai hoc thai nguyen,Chuyên ngành,chuyen nganh,chuyen nganh
9696,Trường Đại học Kinh Tế TPHCM,dai hoc kinh te hcm,dai hoc kinh te hcm,Kiểm toán,kiem toan,kiem toan
9697,PTIT,ptit,ptit,Chuyên ngành,chuyen nganh,chuyen nganh
9698,Hv Công nghệ Bưu chính Viễn thông,hv cong nghe buu chinh vien thong,hv cong nghe buu chinh vien thong,Chuyên ngành,chuyen nganh,chuyen nganh
9699,Chu Văn An High School Nha Trang,chu van an high school nha trang,chu van an high school nha trang,Chuyên ngành,chuyen nganh,chuyen nganh
9700,FPT Arena Multimedia Academy,fpt arena multimedia academy,fpt arena multimedia academy,Multimedia,multimedia,cong nghe da phuong tien
9701,FPT Arena Multimedia Academy,fpt arena multimedia academy,fpt arena multimedia academy,Đa phương tiện,da phuong tien,cong nghe da phuong tien
9702,Cao Đẳng Y Tế Bạch Mai,cao dang y te bach mai,cao dang y te bach mai,Vật lý trị liệu,vat ly tri lieu,CannotFound
9703,THPT Lê Quý Đôn - Đống Đa,trung hoc pho thong le quy don dong da,trung hoc pho thong le quy don dong da,Chuyên ngành,chuyen nganh,chuyen nganh
9704,Cao Đẳng Kinh Tế Đối Ngoại,cao dang kinh te doi ngoai,cao dang kinh te doi ngoai,Quản trị nhà hàng -  khách sạn,quan tri nha hang khach san,quan tri khach san
9705,HUTECH - Trường Đại học Công nghệ TP.HCM,hutech truong dai hoc cong nghe hcm,hutech truong dai hoc cong nghe hcm,Chuyên ngành,chuyen nganh,chuyen nganh
9706,Đại học sư phạm TP Hồ Chí Minh,dai hoc su pham hcm,dai hoc su pham hcm,Toán,toan,toan co
9707,Đại học Luật Hà Nội,dai hoc luat ha noi,dai hoc luat ha noi,LUẬT HỌC,luat hoc,CannotFound
9708,Đại học Ngoại Ngữ - ĐHQG Hà Nội (ULIS-VNU),dai hoc ngoai ngu dai hoc quoc gia ha noi,dai hoc ngoai ngu dai hoc quoc gia ha noi,Deutsch,deutsch,CannotFound
9709, VNU Hanoi University of Languages and International Studies,vnu hanoi university of languages and international studies,vnu hanoi university of languages and international studies,Chuyên ngành,chuyen nganh,chuyen nganh
9710,THPT Tứ Kỳ,trung hoc pho thong tu ky,trung hoc pho thong tu ky,English Literature,english literature,van hoc
9711,Đại Học Hoa Sen,dai hoc hoa sen,dai hoc hoa sen,Chuyên ngành,chuyen nganh,chuyen nganh
9712,Đại học kinh tế quốc dân,dai hoc kinh te quoc dan,dai hoc kinh te quoc dan,Kinh tế,kinh te,kinh te
9713,Đại Học Hoa Sen,dai hoc hoa sen,dai hoc hoa sen,Tài chính doanh nghiệp,tai chinh doanh nghiep,CannotFound
9714,"Bannari Amman Institute of Technology, Sathyamangalam",bannari amman institute of technology sathyamangalam,bannari amman institute of technology sathyamangalam,Chuyên ngành,chuyen nganh,chuyen nganh
9715,Sri Krishna College of Engineering And Technology,sri krishna college of engineering and technology,sri krishna college of engineering and technology,Chuyên ngành,chuyen nganh,chuyen nganh
9716,Dai hoc tong hop Ha noi,dai hoc tong hop ha noi,dai hoc tong hop ha noi,Chuyên ngành,chuyen nganh,chuyen nganh
9717,ĐH KHXH & Nhân Văn,dai hoc khoa hoc xa hoi nhan van,dai hoc khoa hoc xa hoi nhan van,Chuyên ngành,chuyen nganh,chuyen nganh
9718,Đại học KHXH & NV- Khoa Quốc Tế học K39,dai hoc khoa hoc xa hoi nhan van khoa quoc te hoc k39,dai hoc khoa hoc xa hoi nhan van khoa quoc te hoc k39,Chuyên ngành,chuyen nganh,chuyen nganh
9719,dhsp nghe thuat tw,dai hoc su pham nghe thuat tw,dai hoc su pham nghe thuat tw,Thiết kế đồ họa,thiet ke do hoa,thiet ke do hoa
9720,Đhspnttw,dai hoc spnttw,dai hoc spnttw,thiet ke,thiet ke,thiet ke xanh
9721,Lê Hồng Phong,le hong phong,le hong phong,Chuyên ngành,chuyen nganh,chuyen nganh
9722,Học Cách Quên Một Người - Tập Sống Thiếu Một Người,hoc cach quen mot nguoi tap song thieu mot nguoi,hoc cach quen mot nguoi tap song thieu mot nguoi,Chuyên ngành,chuyen nganh,chuyen nganh
